city,SUM of estimated_annual_revenue,AVERAGE of occupancy_rate,COUNTA of id,,,COUNTA of id,SUM of estimated_annual_revenue,AVERAGE of price,AVERAGE of occupancy_rate,AVERAGE of revenue_per_available_day,Professional hosts,,,,,,,host_id,host_name,SUM of estimated_annual_revenue,COUNTA of id,AVERAGE of occupancy_rate,,,,
,,,,,,,28980678,Entire Home/Apt,Average,66.60%,"$45,927.00",-0.21,,,,,,314494058,Rafael,"$55,315.00",1,50.70%,,,,
,,,,,,,42257688,Entire Home/Apt,Budget,75.30%,"$45,925.00",-1.11,,,,,,72454559,David,"$55,290.00",1,53.20%,,,,
,,,,,,,22128174,Entire Home/Apt,Average,81.60%,"$45,892.00",1.22,,,,,,100956083,Janetha,"$55,200.00",1,75.60%,,,,
,,,,,,,36840938,Entire Home/Apt,Budget,90.40%,"$45,870.00",-0.94,,,,,,34252609,Ying,"$55,200.00",1,75.60%,,,,
,,,,,,,41621247,Entire Home/Apt,Average,80.50%,"$45,864.00",0.24,,,,,,171993006,Jett,"$55,123.00",1,75.90%,,,,
,,,,,,,24183111,Entire Home/Apt,Average,75.60%,"$45,816.00",-0.98,,,,,,19957349,Tim,"$55,123.00",1,75.90%,,,,
,,,,,,,39467192,Entire Home/Apt,Average,84.10%,"$45,743.00",-0.04,,,,,,340185300,Lisa,"$55,000.00",1,75.30%,,,,
,,,,,,,25688661,Entire Home/Apt,Budget,77.80%,"$45,724.00",3.29,,,,,,198502994,Anna,"$55,000.00",1,75.30%,,,,
,,,,,,,4464215,Entire Home/Apt,Premium,22.70%,"$45,650.00",1.12,,,,,,76932855,Yuxiang,"$55,000.00",1,75.30%,,,,
,,,,,,,42733248,Entire Home/Apt,Budget,100.00%,"$45,625.00",-0.59,,,,,,75452099,John,"$55,000.00",1,75.30%,,,,
,,,,,,,36806293,Entire Home/Apt,Budget,100.00%,"$45,625.00",-0.76,,,,,,55266089,Ciaran Kelly,"$54,950.00",1,43.00%,,,,
,,,,,,,36358386,Entire Home/Apt,Budget,100.00%,"$45,625.00",-1.13,,,,,,43384196,Alex,"$54,950.00",1,43.00%,,,,
,,,,,,,36143087,Private Room,Budget,100.00%,"$45,625.00",-1.29,,,,,,880382,Brianne,"$54,950.00",1,43.00%,,,,
,,,,,,,34899126,Entire Home/Apt,Budget,100.00%,"$45,625.00",-1.35,,,,,,213398979,Enid,"$54,945.00",1,91.20%,,,,
,,,,,,,31931760,Entire Home/Apt,Budget,100.00%,"$45,625.00",-1.02,,,,,,282152329,Jeffrey,"$54,924.00",1,75.60%,,,,
,,,,,,,28586492,Entire Home/Apt,Budget,100.00%,"$45,625.00",-1.02,,,,,,21850545,Lori,"$54,924.00",1,75.60%,,,,
,,,,,,,27577456,Entire Home/Apt,Budget,100.00%,"$45,625.00",5.19,,,,,,129937301,Esther,"$54,880.00",1,94.00%,,,,
,,,,,,,26782911,Entire Home/Apt,Budget,100.00%,"$45,625.00",-1.05,,,,,,97302265,Garush,"$54,793.00",1,43.00%,,,,
,,,,,,,25324325,Entire Home/Apt,Budget,100.00%,"$45,625.00",-1.36,,,,,,298149098,Fernando Janes,"$54,760.00",2,81.10%,,,,
,,,,,,,24946871,Entire Home/Apt,Budget,100.00%,"$45,625.00",-1.24,,,,,,333658826,Lisa,"$54,750.00",1,100.00%,,,,
,,,,,,,24681175,Entire Home/Apt,Budget,100.00%,"$45,625.00",6.41,,,,,,313404481,Owen,"$54,750.00",1,100.00%,,,,
,,,,,,,24489443,Private Room,Budget,100.00%,"$45,625.00",1.86,,,,,,299367672,Neftali,"$54,750.00",1,100.00%,,,,
,,,,,,,23629845,Private Room,Budget,100.00%,"$45,625.00",-1.37,,,,,,298338663,Shawn,"$54,750.00",1,100.00%,,,,
,,,,,,,23311374,Entire Home/Apt,Budget,100.00%,"$45,625.00",-0.98,,,,,,285179393,Remington,"$54,750.00",1,100.00%,,,,
,,,,,,,23122435,Private Room,Budget,100.00%,"$45,625.00",-0.75,,,,,,269114687,Felicia,"$54,750.00",1,100.00%,,,,
,,,,,,,21470573,Entire Home/Apt,Budget,100.00%,"$45,625.00",0.01,,,,,,232107564,Kiki,"$54,750.00",1,100.00%,,,,
,,,,,,,21124635,Entire Home/Apt,Budget,100.00%,"$45,625.00",-1.30,,,,,,229626990,Weldon,"$54,750.00",1,100.00%,,,,
,,,,,,,21052264,Entire Home/Apt,Budget,100.00%,"$45,625.00",-1.34,,,,,,227355829,Kazue,"$54,750.00",1,100.00%,,,,
,,,,,,,20673848,Entire Home/Apt,Budget,100.00%,"$45,625.00",-1.37,,,,,,224413673,Alex,"$54,750.00",1,100.00%,,,,
,,,,,,,20011959,Entire Home/Apt,Budget,100.00%,"$45,625.00",-0.50,,,,,,218083172,Martha,"$54,750.00",1,100.00%,,,,
,,,,,,,19209436,Entire Home/Apt,Budget,100.00%,"$45,625.00",-0.66,,,,,,190107894,Tom Chrissy,"$54,750.00",1,100.00%,,,,
,,,,,,,18808933,Private Room,Budget,100.00%,"$45,625.00",-1.28,,,,,,180994455,Max,"$54,750.00",1,100.00%,,,,
,,,,,,,16768807,Entire Home/Apt,Budget,100.00%,"$45,625.00",-1.17,,,,,,176896549,Caroline,"$54,750.00",1,100.00%,,,,
,,,,,,,15942685,Entire Home/Apt,Budget,100.00%,"$45,625.00",3.45,,,,,,173823383,Basia,"$54,750.00",1,100.00%,,,,
,,,,,,,13699419,Private Room,Budget,100.00%,"$45,625.00",1.37,,,,,,158048189,Silvia,"$54,750.00",1,100.00%,,,,
,,,,,,,8044744,Entire Home/Apt,Budget,100.00%,"$45,625.00",-1.38,,,,,,146126902,Austin,"$54,750.00",1,100.00%,,,,
,,,,,,,7937969,Entire Home/Apt,Average,100.00%,"$45,625.00",-1.32,,,,,,127700756,Valerie,"$54,750.00",1,100.00%,,,,
,,,,,,,7882412,Entire Home/Apt,Budget,100.00%,"$45,625.00",-1.24,,,,,,127603987,Logan,"$54,750.00",1,100.00%,,,,
,,,,,,,6912356,Private Room,Budget,100.00%,"$45,625.00",2.59,,,,,,124853735,Joy,"$54,750.00",1,100.00%,,,,
,,,,,,,6821978,Entire Home/Apt,Budget,100.00%,"$45,625.00",-1.38,,,,,,123278862,Adriana,"$54,750.00",1,100.00%,,,,
,,,,,,,6764316,Private Room,Budget,100.00%,"$45,625.00",3.81,,,,,,119046186,Maggie,"$54,750.00",1,100.00%,,,,
,,,,,,,4636643,Entire Home/Apt,Budget,100.00%,"$45,625.00",-1.21,,,,,,114023820,Hunter,"$54,750.00",1,100.00%,,,,
,,,,,,,3283729,Entire Home/Apt,Budget,100.00%,"$45,625.00",-1.24,,,,,,98996069,Gigi,"$54,750.00",1,100.00%,,,,
,,,,,,,2141470,Entire Home/Apt,Budget,100.00%,"$45,625.00",-1.22,,,,,,98303062,Jeff,"$54,750.00",1,100.00%,,,,
,,,,,,,7896628,Hotel Room,Budget,83.80%,"$45,594.00",-1.13,,,,,,91299100,Christopher,"$54,750.00",1,100.00%,,,,
,,,,,,,34417530,Entire Home/Apt,Average,66.00%,"$45,549.00",-0.74,,,,,,84157454,Benjamin,"$54,750.00",1,100.00%,,,,
,,,,,,,6570681,Entire Home/Apt,Budget,75.60%,"$45,540.00",-1.13,,,,,,73509766,Simon,"$54,750.00",1,100.00%,,,,
,,,,,,,37174987,Entire Home/Apt,Budget,62.20%,"$45,400.00",4.27,,,,,,69825290,Colin,"$54,750.00",1,100.00%,,,,
,,,,,,,24003150,Entire Home/Apt,Budget,52.90%,"$45,355.00",0.92,,,,,,66757117,Laural,"$54,750.00",1,100.00%,,,,
,,,,,,,38996077,Entire Home/Apt,Average,56.40%,"$45,320.00",-0.85,,,,,,64987082,Xiaoyan,"$54,750.00",1,100.00%,,,,
,,,,,,,24358063,Entire Home/Apt,Average,82.70%,"$45,300.00",0.85,,,,,,64008392,Dana,"$54,750.00",1,100.00%,,,,
,,,,,,,6143642,Entire Home/Apt,Average,75.60%,"$45,264.00",-1.29,,,,,,61322151,Tanya,"$54,750.00",1,100.00%,,,,
,,,,,,,42893103,Entire Home/Apt,Premium,20.00%,"$45,260.00",-0.28,,,,,,56436566,Amanda Ben,"$54,750.00",1,100.00%,,,,
,,,,,,,35076834,Entire Home/Apt,Budget,100.00%,"$45,260.00",0.39,,,,,,53750543,Liat,"$54,750.00",1,100.00%,,,,
,,,,,,,13409079,Entire Home/Apt,Average,100.00%,"$45,260.00",2.98,,,,,,50769650,Miguel,"$54,750.00",1,100.00%,,,,
,,,,,,,12995569,Entire Home/Apt,Budget,100.00%,"$45,260.00",-1.35,,,,,,50472607,Madison,"$54,750.00",1,100.00%,,,,
,,,,,,,30591056,Entire Home/Apt,Average,55.30%,"$45,248.00",1.07,,,,,,49282351,Jess,"$54,750.00",1,100.00%,,,,
,,,,,,,13676387,Entire Home/Apt,Average,90.40%,"$45,210.00",-0.12,,,,,,46752921,Paul,"$54,750.00",1,100.00%,,,,
,,,,,,,34946870,Entire Home/Apt,Premium,51.00%,"$45,198.00",-1.15,,,,,,46396471,Adolph,"$54,750.00",1,100.00%,,,,
,,,,,,,28645563,Entire Home/Apt,Budget,89.00%,"$45,175.00",0.23,,,,,,46297002,Jonathan,"$54,750.00",1,100.00%,,,,
,,,,,,,41877119,Entire Home/Apt,Average,82.50%,"$45,150.00",-1.05,,,,,,43831440,Austin,"$54,750.00",1,100.00%,,,,
,,,,,,,39651102,Entire Home/Apt,Budget,83.00%,"$45,147.00",1.59,,,,,,41213480,Sara,"$54,750.00",1,100.00%,,,,
,,,,,,,22942398,Entire Home/Apt,Average,38.60%,"$45,120.00",-0.88,,,,,,40173487,Joshua,"$54,750.00",1,100.00%,,,,
,,,,,,,41862446,Entire Home/Apt,Average,75.30%,"$45,100.00",-0.98,,,,,,39329047,C,"$54,750.00",1,100.00%,,,,
,,,,,,,43348706,Entire Home/Apt,Budget,98.60%,"$45,000.00",-0.44,,,,,,38006524,Sherri,"$54,750.00",1,100.00%,,,,
,,,,,,,40038477,Entire Home/Apt,Budget,49.30%,"$45,000.00",0.32,,,,,,37684883,Beth,"$54,750.00",1,100.00%,,,,
,,,,,,,17830470,Entire Home/Apt,Premium,49.30%,"$45,000.00",-0.94,,,,,,36806644,Peter,"$54,750.00",1,100.00%,,,,
,,,,,,,16533016,Entire Home/Apt,Budget,94.80%,"$44,980.00",-1.33,,,,,,36496273,Aki,"$54,750.00",1,100.00%,,,,
,,,,,,,42540646,Entire Home/Apt,Average,77.00%,"$44,960.00",2.39,,,,,,36440514,Sarah,"$54,750.00",1,100.00%,,,,
,,,,,,,29127695,Entire Home/Apt,Premium,28.80%,"$44,940.00",0.79,,,,,,30609740,Monica,"$54,750.00",1,100.00%,,,,
,,,,,,,22477640,Entire Home/Apt,Premium,59.20%,"$44,928.00",-1.23,,,,,,28699744,Travis,"$54,750.00",1,100.00%,,,,
,,,,,,,33917781,Entire Home/Apt,Budget,100.00%,"$44,895.00",1.22,,,,,,28504839,Yina,"$54,750.00",1,100.00%,,,,
,,,,,,,23435528,Private Room,Budget,100.00%,"$44,895.00",4.64,,,,,,28398689,Ryan,"$54,750.00",1,100.00%,,,,
,,,,,,,15053846,Entire Home/Apt,Budget,100.00%,"$44,895.00",6.83,,,,,,27674647,Tera,"$54,750.00",1,100.00%,,,,
,,,,,,,18753645,Entire Home/Apt,Average,81.90%,"$44,850.00",4.51,,,,,,26929248,Andrew,"$54,750.00",1,100.00%,,,,
,,,,,,,39385479,Entire Home/Apt,Budget,82.50%,"$44,849.00",0.26,,,,,,26436833,Michael,"$54,750.00",1,100.00%,,,,
,,,,,,,20096522,Entire Home/Apt,Budget,54.50%,"$44,775.00",-1.10,,,,,,26381112,Emily,"$54,750.00",1,100.00%,,,,
,,,,,,,19802685,Entire Home/Apt,Budget,76.20%,"$44,758.00",2.83,,,,,,22217451,Ashley,"$54,750.00",1,100.00%,,,,
,,,,,,,28472746,Entire Home/Apt,Budget,80.50%,"$44,688.00",-0.19,,,,,,20165667,Karsten,"$54,750.00",1,100.00%,,,,
,,,,,,,9027524,Entire Home/Apt,Premium,53.70%,"$44,688.00",-1.07,,,,,,19133654,Curtis,"$54,750.00",1,100.00%,,,,
,,,,,,,39297417,Private Room,Average,81.40%,"$44,550.00",-1.29,,,,,,14586567,Paula,"$54,750.00",1,100.00%,,,,
,,,,,,,40116171,Entire Home/Apt,Average,100.00%,"$44,530.00",-1.24,,,,,,13312279,Marta,"$54,750.00",1,100.00%,,,,
,,,,,,,33830929,Entire Home/Apt,Budget,100.00%,"$44,530.00",-1.29,,,,,,11773839,Nate,"$54,750.00",1,100.00%,,,,
,,,,,,,23257392,Private Room,Budget,100.00%,"$44,530.00",2.73,,,,,,11546425,Pooja,"$54,750.00",1,100.00%,,,,
,,,,,,,17991992,Entire Home/Apt,Budget,100.00%,"$44,530.00",0.48,,,,,,11158576,Mustafa,"$54,750.00",1,100.00%,,,,
,,,,,,,27430125,Entire Home/Apt,Budget,91.50%,"$44,422.00",-1.18,,,,,,11155956,Lauren,"$54,750.00",1,100.00%,,,,
,,,,,,,980406,Entire Home/Apt,Average,34.00%,"$44,392.00",-0.90,,,,,,9754272,Tim,"$54,750.00",1,100.00%,,,,
,,,,,,,22261274,Entire Home/Apt,Budget,97.30%,"$44,375.00",-1.28,,,,,,8724867,Ilana,"$54,750.00",1,100.00%,,,,
,,,,,,,32868839,Entire Home/Apt,Average,71.50%,"$44,370.00",-0.64,,,,,,7475020,David,"$54,750.00",1,100.00%,,,,
,,,,,,,26038867,Private Room,Average,71.50%,"$44,370.00",-0.45,,,,,,7215773,Maria,"$54,750.00",1,100.00%,,,,
,,,,,,,15994498,Entire Home/Apt,Average,75.90%,"$44,320.00",1.48,,,,,,6969910,Ben,"$54,750.00",1,100.00%,,,,
,,,,,,,41714228,Entire Home/Apt,Average,56.40%,"$44,290.00",-0.85,,,,,,6161812,Shannon Brock,"$54,750.00",1,100.00%,,,,
,,,,,,,43751186,Entire Home/Apt,Average,80.80%,"$44,250.00",-0.55,,,,,,4622157,Katie,"$54,750.00",1,100.00%,,,,
,,,,,,,32849807,Entire Home/Apt,Average,80.80%,"$44,250.00",4.18,,,,,,4526506,Dave,"$54,750.00",1,100.00%,,,,
,,,,,,,36036522,Entire Home/Apt,Budget,96.20%,"$44,226.00",2.56,,,,,,4373660,Michelle,"$54,750.00",1,100.00%,,,,
,,,,,,,32868428,Entire Home/Apt,Budget,91.80%,"$44,220.00",-0.77,,,,,,4241831,Timothy,"$54,750.00",1,100.00%,,,,
,,,,,,,30389263,Entire Home/Apt,Premium,50.70%,"$44,215.00",-0.72,,,,,,3799437,Juliana,"$54,750.00",1,100.00%,,,,
,,,,,,,31143980,Entire Home/Apt,Budget,60.50%,"$44,200.00",-0.88,,,,,,3610952,Jo,"$54,750.00",1,100.00%,,,,
,,,,,,,21517499,Entire Home/Apt,Budget,96.70%,"$44,125.00",0.11,,,,,,3343599,Devin,"$54,750.00",1,100.00%,,,,
,,,,,,,7009677,Entire Home/Apt,Budget,96.70%,"$44,125.00",0.72,,,,,,3100877,Liz,"$54,750.00",1,100.00%,,,,
,,,,,,,38022086,Entire Home/Apt,Premium,21.10%,"$44,044.00",-0.53,,,,,,2494204,Jessica,"$54,750.00",1,100.00%,,,,
,,,,,,,22059579,Entire Home/Apt,Average,52.90%,"$44,004.00",2.93,,,,,,2243253,Mark,"$54,750.00",1,100.00%,,,,
,,,,,,,39614614,Entire Home/Apt,Budget,96.40%,"$44,000.00",0.02,,,,,,2052411,Mary,"$54,750.00",1,100.00%,,,,
,,,,,,,30088047,Entire Home/Apt,Budget,77.30%,"$43,992.00",-0.56,,,,,,1998560,Jesse,"$54,750.00",1,100.00%,,,,
,,,,,,,10881170,Entire Home/Apt,Average,73.40%,"$43,952.00",0.83,,,,,,1747222,Sascha,"$54,750.00",1,100.00%,,,,
,,,,,,,9393984,Entire Home/Apt,Premium,12.30%,"$43,875.00",1.74,,,,,,1606152,Laura,"$54,750.00",1,100.00%,,,,
,,,,,,,42941659,Entire Home/Apt,Budget,100.00%,"$43,800.00",-1.29,,,,,,1531162,Yunjiao,"$54,750.00",2,100.00%,,,,
,,,,,,,40310297,Entire Home/Apt,Budget,100.00%,"$43,800.00",-0.55,,,,,,1409844,Lakshmi,"$54,750.00",1,100.00%,,,,
,,,,,,,39252056,Private Room,Budget,100.00%,"$43,800.00",-1.27,,,,,,940937,Katie,"$54,750.00",1,100.00%,,,,
,,,,,,,37919699,Entire Home/Apt,Budget,100.00%,"$43,800.00",1.69,,,,,,861848,Nicholas,"$54,750.00",1,100.00%,,,,
,,,,,,,37425046,Entire Home/Apt,Budget,100.00%,"$43,800.00",-1.15,,,,,,770821,Becca,"$54,750.00",1,100.00%,,,,
,,,,,,,33227345,Entire Home/Apt,Budget,100.00%,"$43,800.00",1.64,,,,,,332552,Peter,"$54,750.00",1,100.00%,,,,
,,,,,,,30320804,Entire Home/Apt,Budget,100.00%,"$43,800.00",1.48,,,,,,306681,Janet,"$54,750.00",1,100.00%,,,,
,,,,,,,29652274,Private Room,Budget,100.00%,"$43,800.00",-1.37,,,,,,276327,Amy,"$54,750.00",1,100.00%,,,,
,,,,,,,29584789,Entire Home/Apt,Budget,100.00%,"$43,800.00",-1.20,,,,,,78804,Sophie,"$54,750.00",1,100.00%,,,,
,,,,,,,27733229,Private Room,Budget,100.00%,"$43,800.00",-1.37,,,,,,105657573,Dee,"$54,725.00",1,75.30%,,,,
,,,,,,,26501755,Entire Home/Apt,Budget,100.00%,"$43,800.00",-1.14,,,,,,31870579,Kathy,"$54,725.00",2,37.65%,,,,
,,,,,,,26299202,Entire Home/Apt,Budget,100.00%,"$43,800.00",3.68,,,,,,237512578,Jon,"$54,600.00",1,99.70%,,,,
,,,,,,,26234052,Entire Home/Apt,Budget,100.00%,"$43,800.00",-1.22,,,,,,222228251,Allyn,"$54,600.00",1,46.00%,,,,
,,,,,,,24411940,Entire Home/Apt,Budget,100.00%,"$43,800.00",-0.89,,,,,,26166774,Javier,"$54,600.00",1,99.70%,,,,
,,,,,,,23542505,Entire Home/Apt,Budget,100.00%,"$43,800.00",-1.31,,,,,,48785105,Loretta,"$54,587.00",1,88.50%,,,,
,,,,,,,23523227,Private Room,Budget,100.00%,"$43,800.00",0.21,,,,,,5421592,James,"$54,450.00",1,75.30%,,,,
,,,,,,,23463561,Private Room,Budget,100.00%,"$43,800.00",-1.34,,,,,,45324825,Annie,"$54,405.00",1,76.40%,,,,
,,,,,,,23329123,Entire Home/Apt,Budget,100.00%,"$43,800.00",-1.20,,,,,,345899797,Marios,"$54,385.00",1,100.00%,,,,
,,,,,,,20729909,Entire Home/Apt,Budget,100.00%,"$43,800.00",-1.18,,,,,,183627070,Brian,"$54,385.00",1,100.00%,,,,
,,,,,,,20448558,Entire Home/Apt,Budget,100.00%,"$43,800.00",-1.19,,,,,,48535457,Eric,"$54,385.00",1,100.00%,,,,
,,,,,,,19436446,Entire Home/Apt,Budget,100.00%,"$43,800.00",-1.32,,,,,,13462855,Travis,"$54,385.00",1,100.00%,,,,
,,,,,,,18463453,Entire Home/Apt,Budget,100.00%,"$43,800.00",-0.09,,,,,,2623620,Jacob,"$54,385.00",1,100.00%,,,,
,,,,,,,18239199,Entire Home/Apt,Budget,100.00%,"$43,800.00",5.00,,,,,,306407,Valery,"$54,385.00",1,100.00%,,,,
,,,,,,,16664148,Entire Home/Apt,Budget,100.00%,"$43,800.00",-1.12,,,,,,168913397,Mary,"$54,372.00",2,37.80%,,,,
,,,,,,,16309329,Private Room,Budget,100.00%,"$43,800.00",-1.18,,,,,,36722174,Memo,"$54,315.00",1,97.30%,,,,
,,,,,,,16227620,Entire Home/Apt,Budget,100.00%,"$43,800.00",-1.38,,,,,,14504701,Sahar,"$54,300.00",1,99.20%,,,,
,,,,,,,15173766,Entire Home/Apt,Budget,100.00%,"$43,800.00",0.81,,,,,,724846,Kelly,"$54,264.00",1,97.80%,,,,
,,,,,,,14784440,Entire Home/Apt,Budget,100.00%,"$43,800.00",-1.19,,,,,,16958396,Lily,"$54,236.00",1,99.70%,,,,
,,,,,,,13175605,Entire Home/Apt,Budget,100.00%,"$43,800.00",1.46,,,,,,355450429,Mike,"$54,150.00",1,98.90%,,,,
,,,,,,,12423497,Entire Home/Apt,Budget,100.00%,"$43,800.00",-1.38,,,,,,138259944,Kevin,"$54,075.00",1,28.20%,,,,
,,,,,,,11274398,Entire Home/Apt,Budget,100.00%,"$43,800.00",-1.12,,,,,,40758630,Philiph,"$54,044.00",1,64.70%,,,,
,,,,,,,9840355,Entire Home/Apt,Budget,100.00%,"$43,800.00",-1.38,,,,,,867249,Norwin,"$54,043.00",1,51.20%,,,,
,,,,,,,9506971,Entire Home/Apt,Average,100.00%,"$43,800.00",-0.78,,,,,,130025944,Makayla,"$54,033.00",1,68.20%,,,,
,,,,,,,9116868,Entire Home/Apt,Budget,100.00%,"$43,800.00",-1.34,,,,,,154831826,Agatha + Jeremy,"$54,020.00",1,100.00%,,,,
,,,,,,,9040796,Entire Home/Apt,Budget,100.00%,"$43,800.00",-1.31,,,,,,51368588,Paula,"$54,020.00",1,100.00%,,,,
,,,,,,,8174638,Entire Home/Apt,Budget,100.00%,"$43,800.00",-0.87,,,,,,45897508,Antonio,"$54,020.00",1,100.00%,,,,
,,,,,,,7306659,Entire Home/Apt,Budget,100.00%,"$43,800.00",-1.20,,,,,,32442302,Rachel,"$54,020.00",1,100.00%,,,,
,,,,,,,6064790,Entire Home/Apt,Budget,100.00%,"$43,800.00",-1.38,,,,,,30725692,Jessica And Jeff,"$54,020.00",1,100.00%,,,,
,,,,,,,3929669,Entire Home/Apt,Budget,100.00%,"$43,800.00",-1.12,,,,,,27016431,Ron,"$54,020.00",1,100.00%,,,,
,,,,,,,3585974,Entire Home/Apt,Budget,100.00%,"$43,800.00",-0.99,,,,,,24801133,Jessica,"$54,020.00",1,100.00%,,,,
,,,,,,,2399736,Entire Home/Apt,Budget,100.00%,"$43,800.00",3.70,,,,,,334402397,Tracey,"$54,000.00",1,98.60%,,,,
,,,,,,,2061811,Entire Home/Apt,Budget,100.00%,"$43,800.00",-1.34,,,,,,314324381,Rona,"$54,000.00",1,74.00%,,,,
,,,,,,,2037632,Entire Home/Apt,Budget,100.00%,"$43,800.00",-0.70,,,,,,76574177,Erik,"$54,000.00",1,98.60%,,,,
,,,,,,,1484310,Entire Home/Apt,Budget,100.00%,"$43,800.00",-1.19,,,,,,30713030,Wendy,"$54,000.00",1,65.80%,,,,
,,,,,,,1421694,Entire Home/Apt,Budget,100.00%,"$43,800.00",-1.12,,,,,,68246933,Richary,"$53,900.00",1,53.70%,,,,
,,,,,,,1327775,Entire Home/Apt,Budget,100.00%,"$43,800.00",-1.36,,,,,,205979167,Brooke,"$53,872.00",1,99.70%,,,,
,,,,,,,934074,Entire Home/Apt,Budget,100.00%,"$43,800.00",0.97,,,,,,16148974,Blake,"$53,850.00",1,98.40%,,,,
,,,,,,,32702218,Hotel Room,Budget,74.50%,"$43,792.00",-0.95,,,,,,133848555,Maria,"$53,820.00",1,81.90%,,,,
,,,,,,,18859401,Entire Home/Apt,Budget,60.30%,"$43,780.00",2.56,,,,,,7249871,Natasha,"$53,820.00",1,75.60%,,,,
,,,,,,,27525072,Entire Home/Apt,Budget,75.30%,"$43,725.00",1.66,,,,,,267899000,Hotel Lucia,"$53,789.00",1,98.90%,,,,
,,,,,,,15985435,Entire Home/Apt,Average,74.80%,"$43,680.00",0.14,,,,,,147063310,Robert,"$53,720.00",1,86.60%,,,,
,,,,,,,760661,Entire Home/Apt,Average,76.20%,"$43,646.00",2.12,,,,,,174052299,Varuni,"$53,600.00",1,73.40%,,,,
,,,,,,,22547346,Entire Home/Apt,Budget,63.80%,"$43,571.00",-0.88,,,,,,163364195,Ana Luisa,"$53,460.00",1,88.80%,,,,
,,,,,,,39752622,Entire Home/Apt,Premium,45.20%,"$43,560.00",0.03,,,,,,284323067,Renew,"$53,295.00",1,88.50%,,,,
,,,,,,,5591866,Private Room,Budget,99.50%,"$43,560.00",1.32,,,,,,2971941,Amy,"$53,290.00",1,100.00%,,,,
,,,,,,,37749472,Entire Home/Apt,Budget,100.00%,"$43,435.00",2.26,,,,,,286479850,Christine,"$53,126.00",1,72.10%,,,,
,,,,,,,37393192,Entire Home/Apt,Budget,100.00%,"$43,435.00",-1.13,,,,,,18091928,Mackenzie,"$53,100.00",1,97.00%,,,,
,,,,,,,35119736,Private Room,Budget,100.00%,"$43,435.00",-0.49,,,,,,215746618,Shawn,"$53,043.00",2,88.90%,,,,
,,,,,,,31812223,Entire Home/Apt,Budget,100.00%,"$43,435.00",2.17,,,,,,287193099,Andrew,"$52,925.00",1,100.00%,,,,
,,,,,,,27584319,Entire Home/Apt,Budget,100.00%,"$43,435.00",0.82,,,,,,148714277,Elaine,"$52,925.00",1,100.00%,,,,
,,,,,,,20599381,Private Room,Budget,100.00%,"$43,435.00",-0.78,,,,,,104128036,Robert,"$52,925.00",1,100.00%,,,,
,,,,,,,11588946,Entire Home/Apt,Budget,100.00%,"$43,435.00",-1.36,,,,,,66744930,Lana,"$52,925.00",1,100.00%,,,,
,,,,,,,43329347,Private Room,Budget,76.70%,"$43,400.00",5.60,,,,,,46745791,Christine,"$52,925.00",1,100.00%,,,,
,,,,,,,26451732,Entire Home/Apt,Budget,59.50%,"$43,400.00",0.87,,,,,,43691633,Robert,"$52,925.00",1,100.00%,,,,
,,,,,,,19859199,Entire Home/Apt,Budget,85.50%,"$43,368.00",0.77,,,,,,20037653,Suzan,"$52,925.00",1,100.00%,,,,
,,,,,,,36591820,Private Room,Average,75.60%,"$43,332.00",-1.29,,,,,,14808512,Florian,"$52,925.00",1,100.00%,,,,
,,,,,,,32813943,Entire Home/Apt,Budget,99.70%,"$43,316.00",0.27,,,,,,13900556,Iryna,"$52,925.00",1,100.00%,,,,
,,,,,,,28083355,Entire Home/Apt,Budget,99.70%,"$43,316.00",-1.09,,,,,,7306184,Jasper,"$52,925.00",1,100.00%,,,,
,,,,,,,17239021,Private Room,Average,81.60%,"$43,210.00",-0.12,,,,,,6707228,Emily,"$52,925.00",1,100.00%,,,,
,,,,,,,43246230,Private Room,Budget,76.20%,"$43,090.00",5.71,,,,,,1895957,Ido,"$52,925.00",1,100.00%,,,,
,,,,,,,31517115,Entire Home/Apt,Budget,98.40%,"$43,080.00",-0.88,,,,,,1523587,Dallas,"$52,925.00",1,100.00%,,,,
,,,,,,,39395468,Entire Home/Apt,Average,100.00%,"$43,070.00",-0.48,,,,,,139127299,Switch,"$52,870.00",1,85.20%,,,,
,,,,,,,19308865,Entire Home/Apt,Budget,100.00%,"$43,070.00",-1.29,,,,,,62792657,Adam,"$52,864.00",1,61.40%,,,,
,,,,,,,16452451,Entire Home/Apt,Budget,100.00%,"$43,070.00",1.66,,,,,,22593138,Jezmin,"$52,820.00",1,76.20%,,,,
,,,,,,,7435259,Entire Home/Apt,Budget,100.00%,"$43,070.00",5.10,,,,,,89366551,Tracy,"$52,805.00",2,43.30%,,,,
,,,,,,,14706136,Entire Home/Apt,Premium,57.80%,"$43,044.00",1.11,,,,,,27619406,Candyce,"$52,800.00",1,96.40%,,,,
,,,,,,,18797897,Entire Home/Apt,Budget,78.10%,"$43,035.00",4.87,,,,,,4516135,Andriy,"$52,750.00",1,57.80%,,,,
,,,,,,,15286440,Entire Home/Apt,Average,38.60%,"$43,005.00",-1.03,,,,,,79781560,Suzanne,"$52,746.00",1,97.00%,,,,
,,,,,,,35197541,Entire Home/Apt,Budget,54.20%,"$42,966.00",-0.98,,,,,,546854,Sanjay,"$52,600.00",1,72.10%,,,,
